State_Name,District_Name,Court_Efficiency_Index_PCA,Total_Population,Pending cases,Cases_per_Capita,Judicial_Efficiency_Index_per_Capita
ASSAM,Nalbari,0.889248678,771639,10890,0.0141128170038061,0.0125498038634905
ASSAM,Dhubri,0.86053736,1949258,29008,0.0148815600602896,0.012806138406963
ASSAM,Dhemaji,0.872209231,686133,2361,0.0034410238248269,0.003001292744105
ASSAM,Goalpara,0.848638241,1008183,13493,0.0133834829589469,0.0113577354367342
ASSAM,Golaghat,0.864461015,1066888,7115,0.0066689286972953,0.0057650288706265
ASSAM,Barpeta,0.882076179,1693622,17431,0.0102921431110365,0.0090784542691043
ASSAM,Hailakandi,0.759322012,659296,14441,0.0219036669417075,0.0166319364523552
ASSAM,Kokrajhar,0.893113502,887142,4689,0.005285512353152,0.0047205624475878
ASSAM,Kamrup,0.773043917,1517542,13543,0.0089242999534774,0.006898875792519
ASSAM,Udalguri,0.912348263,831668,2594,0.0031190330756984,0.002845644408853
ASSAM,Chirang,0.88074626,482162,3233,0.0067052152596015,0.0059055932623889
ASSAM,Karbi Anglong,0.798462792,956313,2763,0.0028892214160008,0.0023069357985262
ASSAM,Baksa,0.869263024,950075,3153,0.0033186853669447,0.0028848104777749
ASSAM,Dima Hasao,0.722869726,214102,601,0.0028070732641451,0.0020291482813145
ANDHRA PRADESH,Anantapur,0.852044884,4081148,78256,0.0191749968391246,0.0163379579574923
ANDHRA PRADESH,Chittoor,0.859445957,4174064,85112,0.0203906792037687,0.017524686802163
ANDHRA PRADESH,East Godavari,0.841024845,5154296,80767,0.01566984123535,0.0131787257961349
ANDHRA PRADESH,Guntur,0.881946659,4887813,93850,0.019200816397845,0.0169340958721518
ANDHRA PRADESH,Kurnool,0.87761366,4053463,82036,0.0202384973046503,0.0177615816924343
ANDHRA PRADESH,Krishna,0.869058554,4517398,92372,0.0204480543888318,0.0177705565792715
ANDHRA PRADESH,Prakasam,0.762434489,3397448,63791,0.0187761519823114,0.0143155858420199
ANDHRA PRADESH,Srikakulam,0.814577614,2703114,27984,0.0103525045558566,0.0084329184600338
ANDHRA PRADESH,Visakhapatnam,0.765812439,4290589,80818,0.0188361085156373,0.0144249262036289
ANDHRA PRADESH,Vizianagaram,0.808372195,2344474,26854,0.0114541683976874,0.0092592312495382
ANDHRA PRADESH,West Godavari,0.79635177,3936966,64010,0.0162587129276707,0.0129476548178724
UTTAR PRADESH,Bareilly,0.61466973,4448359,231647,0.0520747088982701,0.0320087472583283
UTTAR PRADESH,Gorakhpur,0.476833923,4440895,266667,0.0600480308586444,0.0286329381227525
UTTAR PRADESH,Hardoi,0.608741745,4092845,191777,0.0468566486148388,0.0285235980426488
UTTAR PRADESH,Chitrakoot,0.65419719,991730,34218,0.034503342643663,0.0225719898030915
UTTAR PRADESH,Meerut,0.729268248,3443689,343835,0.0998449627710283,0.0728137610716531
UTTAR PRADESH,Bahraich,0.592197886,3487731,172929,0.0495820921969039,0.0293624101824636
UTTAR PRADESH,Ghaziabad,0.730557769,4681645,432309,0.0923412603903115,0.067460625177394
UTTAR PRADESH,Fatehpur,0.530401876,2632733,106334,0.0403892077168478,0.0214225115431697
UTTAR PRADESH,Shrawasti,0.610574783,1117361,38694,0.0346298107773584,0.0211440892007166
UTTAR PRADESH,Jaunpur,0.47682235,4494204,214264,0.0476756284316421,0.0227328051865024
UTTAR PRADESH,Pilibhit,0.638844314,2031007,102167,0.0503036178604997,0.0321361802438091
UTTAR PRADESH,Mainpuri,0.524487221,1868529,103973,0.0556443062965573,0.0291847275739541
UTTAR PRADESH,Ambedkar Nagar,0.55985313,2397888,92061,0.0383925354311794,0.0214941811297817
UTTAR PRADESH,Sitapur,0.503294683,4483992,205143,0.045750081623696,0.0230257728280222
UTTAR PRADESH,Auraiya,0.543280011,1379545,65457,0.0474482528659811,0.025777687338961
UTTAR PRADESH,Budaun,0.613299935,3681896,153015,0.0415587512520723,0.0254879794415771
UTTAR PRADESH,Kanpur Nagar,0.633688805,4581268,634087,0.1384086239879439,0.0877079955366145
UTTAR PRADESH,Gautam Buddha Nagar,0.746429051,1648115,436473,0.2648316409959256,0.1976780304633615
UTTAR PRADESH,Ballia,0.471112603,3239774,130886,0.0403997315862155,0.0190328227080833
UTTAR PRADESH,Lalitpur,0.562738069,1221592,64498,0.0527983156405739,0.029711622190029
UTTAR PRADESH,Lucknow,0.572832336,4589838,492563,0.1073159880588378,0.0614740681298921
